name,company_name,pack_size,price
Artelum,Wood Wards,Pack Size: 60ml,Rs 247
Artelum,Wood Wards,Pack Size: 2x8s,Rs 180
Acizol,Leo-Zam Zam,Pack Size: 1x14,Rs 162
Acizol,Leo-Zam Zam,Pack Size: 1x14,Rs 141
Abnil,AGP,Pack Size: 1 x 30's,"Rs 1,683"
Actrapid HM Vial,Novo Nordisk,Pack Size: 10ml,Rs 825
Apidra,Sanofi,Pack Size: 5 pre filled pen x 3ml,Rs 955
Amper,Nexpharm,Pack Size: 1x10 's,Rs 135
Amper,Nexpharm,Pack Size: 1x10 's,Rs 266
Amygra,Tabroos,Pack Size: 20's,Rs 155
Aldactone,Searle,Pack Size: 1x10's,Rs 119
Aldactone-A,Searle,Pack Size: 1x100's,Rs 297
Acylex 5%,Ferozsons,Pack Size: 5gm,Rs 210
Angiwell - XR 500 mg,OBS,Pack Size: 14,Rs 158
Avsar,Pharm Evo,Pack Size: 2x7's,Rs 270
Acdermin Gel,Atco,Pack Size: 20gm,Rs 331
Aerocef,Raazee,Pack Size: 5's,Rs 302
Abzid,Semos,Pack Size: 1 Vial,Rs 248
Abzid,Semos,Pack Size: 1 Vial,Rs 130
Abex,Semos,Pack Size: 1 Vial,Rs 180
Abex,Semos,Pack Size: 1 Vial,Rs 162
Aczon,Global-Vision,Pack Size: 1 Vial,Rs 234
Aczon,Global-Vision,Pack Size: 1 Vial,Rs 108
Amizone,Global-Vision,Pack Size: 1 Vial,Rs 153
Amtraxa,Amarant,Pack Size: 1 Vial,Rs 366
Amtraxa,Amarant,Pack Size: 1 Vial,Rs 115
Amtraxa,Amarant,Pack Size: 1 Vial,Rs 194
Aventriax,Sanofi,Pack Size: 1 Vial,Rs 515
Aventriax,Sanofi,Pack Size: 1 Vial,Rs 162
Aventriax,Sanofi,Pack Size: 1 Vial,Rs 197
AD Folic,Pharm Evo,Pack Size: 3x10's,Rs 93
Amlo-Q,High-Q,Pack Size: 2x10's,Rs 102
Acecol,Pharmadic,Pack Size: 10's,Rs 108
Acelish,Platinum,Pack Size: 30,Rs 62
Acelo,Maple,Pack Size: 3x10's,Rs 248
Acemed,Novartis,Pack Size: 1x10's,Rs 108
Acenac,S.J. & G. Fazul Ellahie,Pack Size: 5 Ampules,Rs 38
Acenac,S.J. & G. Fazul Ellahie,Pack Size: 30's,Rs 141
Acenac,S.J. & G. Fazul Ellahie,Pack Size: 3x10's,Rs 115
Airtal,Highnoon,Pack Size: 2x10's,Rs 163
Airtal ER,Highnoon,Pack Size: 1X10s,Rs 288
Antiflam,Wilshire,Pack Size: 3x10's,Rs 66
Artimov-K,Barrett,Pack Size: 2 x 10's,Rs 81
Aaram,Bosch,Pack Size: 5 Ampx2ml,Rs 23
Arsofin,Martin Dow,Pack Size: 1 x 20's,Rs 239
Arsofin,Martin Dow,Pack Size: 2x10's,Rs 239
Artho,Shaigan,Pack Size: 20's,Rs 263
Annuva,Novartis,Pack Size: 2x10's,Rs 92
Acefyl Cough,Nabi Qasim,Pack Size: 120ml,Rs 127
Ascard,Atco,Pack Size: 3x10's,Rs 30
Atarax 10mg,GlaxoSmithKline,Pack Size: 2x25's,Rs 34
Arinac,Abbott Laboratories,Pack Size: 120ml,Rs 118
Arrange Product,Dawaai,Pack Size: 1,Rs 446
Amoxil Drops,GlaxoSmithKline,Pack Size: 20ml,Rs 99
Acefyl wet Cough 60 ml -125,Nabi Qasim,Pack Size: 60ml,Rs 95
Amoxil,GlaxoSmithKline,Pack Size: 90ml,Rs 113
Antolol,Icon,Pack Size: 2x10s,Rs 42
Algaphan,Efroze,Pack Size: 20,Rs 26
Albizole,Icon,Pack Size: 1,Rs 64
Alkacitron,PDH,Pack Size: 120 ml,Rs 42
Augmentin,GlaxoSmithKline,Pack Size: 1 Vial,"Rs 1,035"
